Data;20704 - Concessões de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário total - R$ (milhões)
jan/15;11.805
fev/15;8.504
mar/15;11.579
abr/15;11.898
mai/15;8.478
jun/15;8.832
jul/15;8.916
ago/15;8.308
set/15;7.979
out/15;7.036
nov/15;7.149
dez/15;8.190
jan/16;5.350
fev/16;5.804
mar/16;7.233
abr/16;6.889
mai/16;7.159
jun/16;7.456
jul/16;6.896
ago/16;7.578
set/16;5.766
out/16;6.044
nov/16;7.034
dez/16;9.825
jan/17;5.906
fev/17;6.113
mar/17;6.922
abr/17;6.306
mai/17;7.786
jun/17;8.019
jul/17;7.738
ago/17;7.995
set/17;6.140
out/17;6.234
nov/17;6.281
dez/17;6.224
jan/18;6.088
fev/18;5.768
mar/18;6.590
abr/18;6.888
mai/18;7.467
jun/18;7.604
jul/18;7.679
ago/18;8.065
set/18;7.435
out/18;8.278
nov/18;7.470
dez/18;7.930
jan/19;5.678
fev/19;7.958
mar/19;7.336
abr/19;7.635
mai/19;8.048
jun/19;8.487
jul/19;8.696
ago/19;7.244
set/19;8.498
out/19;10.337
nov/19;9.456
dez/19;9.740
jan/20;7.720
fev/20;7.824
mar/20;9.084
abr/20;8.039
mai/20;8.074
jun/20;10.098
jul/20;11.483
ago/20;12.742
set/20;12.657
out/20;13.078
nov/20;13.268
dez/20;14.651
jan/21;10.813
fev/21;12.167
mar/21;15.984
abr/21;14.984
mai/21;16.288
jun/21;16.323
jul/21;15.896
ago/21;18.984
set/21;17.451
out/21;15.918
nov/21;16.196
dez/21;15.830
jan/22;12.725
fev/22;12.671
mar/22;16.296
abr/22;12.955
mai/22;15.228
jun/22;16.257
jul/22;16.801
ago/22;16.350
set/22;16.467
out/22;15.222
nov/22;15.319
dez/22;14.718
jan/23;13.341
fev/23;12.502
mar/23;17.426
abr/23;14.219
mai/23;15.169
jun/23;15.204
jul/23;14.759
ago/23;15.757
set/23;16.813
out/23;16.142
nov/23;15.519
dez/23;16.716
jan/24;15.049
fev/24;15.605
mar/24;17.606
abr/24;18.686
mai/24;20.697
jun/24;20.615
jul/24;21.466
ago/24;21.634
set/24;20.686
out/24;19.476
nov/24;17.493
dez/24;18.017
jan/25;17.098
fev/25;17.928
mar/25;17.490
abr/25;18.617
mai/25;18.538
jun/25;18.427
jul/25;17.952
ago/25;18.364
set/25;19.755
out/25;21.125
nov/25;18.704
Fonte;BCB-DSTAT
